시도,연도,복지시설_합계,요양병원_수,복지시설_정규화,요양병원_정규화,인프라_치우침_지수
경기도,2019,10855,343,1.0,1.0,0.0
경상남도,2019,7760,146,0.7093,0.4154,0.2938
경상북도,2019,8343,118,0.764,0.3323,0.4317
광주광역시,2019,1624,65,0.1328,0.1751,-0.0422
대구광역시,2019,1691,66,0.1391,0.178,-0.0389
대전광역시,2019,1032,52,0.0772,0.1365,-0.0593
부산광역시,2019,2629,189,0.2272,0.543,-0.3158
서울특별시,2019,4391,121,0.3928,0.3412,0.0515
세종특별자치시,2019,210,6,0.0,0.0,0.0
울산광역시,2019,909,42,0.0657,0.1068,-0.0412
인천광역시,2019,1790,72,0.1484,0.1958,-0.0474
전라남도,2019,9473,88,0.8702,0.2433,0.6269
전북특별자치도,2019,7076,84,0.645,0.2315,0.4135
제주특별자치도,2019,506,10,0.0278,0.0119,0.0159
충청남도,2019,6025,89,0.5463,0.2463,0.3
충청북도,2019,4312,50,0.3853,0.1306,0.2548
강원특별자치도,2020,3621,32,0.2838,0.0756,0.2082
경기도,2020,11477,350,1.0,1.0,0.0
경상남도,2020,8000,147,0.683,0.4099,0.2731
경상북도,2020,8573,117,0.7353,0.3227,0.4126
광주광역시,2020,1684,65,0.1072,0.1715,-0.0643
대구광역시,2020,1785,71,0.1164,0.189,-0.0725
대전광역시,2020,1092,51,0.0532,0.1308,-0.0776
부산광역시,2020,2698,187,0.1997,0.5262,-0.3265
서울특별시,2020,4699,126,0.3821,0.3488,0.0332
세종특별자치시,2020,522,6,0.0013,0.0,0.0013
울산광역시,2020,967,42,0.0418,0.1047,-0.0628
인천광역시,2020,1962,70,0.1326,0.186,-0.0535
전라남도,2020,9616,90,0.8303,0.2442,0.5862
전북특별자치도,2020,7271,84,0.6166,0.2267,0.3898
제주특별자치도,2020,508,10,0.0,0.0116,-0.0116
충청남도,2020,6170,86,0.5162,0.2326,0.2836
충청북도,2020,4426,50,0.3572,0.1279,0.2293
강원특별자치도,2021,3728,33,0.2729,0.0892,0.1837
경기도,2021,12248,319,1.0,1.0,0.0
경상남도,2021,8278,129,0.6612,0.3949,0.2663
경상북도,2021,8829,113,0.7082,0.3439,0.3643
광주광역시,2021,1798,59,0.1081,0.172,-0.0638
대구광역시,2021,1915,74,0.1181,0.2197,-0.1016
대전광역시,2021,1171,49,0.0546,0.1401,-0.0855
부산광역시,2021,2812,169,0.1947,0.5223,-0.3276
서울특별시,2021,5021,124,0.3832,0.379,0.0042
세종특별자치시,2021,535,5,0.0003,0.0,0.0003
울산광역시,2021,1043,41,0.0437,0.1146,-0.071
인천광역시,2021,2197,67,0.1422,0.1975,-0.0553
전라남도,2021,9742,82,0.7861,0.2452,0.5409
전북특별자치도,2021,6904,83,0.5439,0.2484,0.2955
