"시점","시군구별(1)",소아청소년과
"2019.2/4","강원",133
"2019.2/4","충북",136
"2019.2/4","충남",170
"2019.2/4","전북",194
"2019.2/4","전남",159
"2019.2/4","경북",206
"2019.2/4","경남",349
"2019.2/4","제주",67
"2019.3/4","전체",5847
"2019.3/4","서울",1270
"2019.3/4","부산",433
"2019.3/4","대구",337
"2019.3/4","인천",305
"2019.3/4","광주",231
"2019.3/4","대전",211
"2019.3/4","울산",116
"2019.3/4","세종",44
"2019.3/4","경기",1483
"2019.3/4","강원",133
"2019.3/4","충북",137
"2019.3/4","충남",168
"2019.3/4","전북",195
"2019.3/4","전남",160
"2019.3/4","경북",207
"2019.3/4","경남",347
"2019.3/4","제주",70
"2019.4/4","전체",5840
"2019.4/4","서울",1268
"2019.4/4","부산",427
"2019.4/4","대구",339
"2019.4/4","인천",311
"2019.4/4","광주",230
"2019.4/4","대전",208
"2019.4/4","울산",115
"2019.4/4","세종",43
"2019.4/4","경기",1486
"2019.4/4","강원",130
"2019.4/4","충북",134
"2019.4/4","충남",168
"2019.4/4","전북",195
"2019.4/4","전남",163
"2019.4/4","경북",208
"2019.4/4","경남",343
"2019.4/4","제주",72
"2020.1/4","전체",5844
"2020.1/4","서울",1274
"2020.1/4","부산",419
"2020.1/4","대구",345
"2020.1/4","인천",306
"2020.1/4","광주",228
"2020.1/4","대전",206
"2020.1/4","울산",112
"2020.1/4","세종",40
"2020.1/4","경기",1511
"2020.1/4","강원",131
"2020.1/4","충북",133
"2020.1/4","충남",165
"2020.1/4","전북",194
"2020.1/4","전남",158
"2020.1/4","경북",205
"2020.1/4","경남",347
"2020.1/4","제주",70
"2020.2/4","전체",5853
"2020.2/4","서울",1279
"2020.2/4","부산",424
"2020.2/4","대구",344
"2020.2/4","인천",297
"2020.2/4","광주",231
"2020.2/4","대전",208
"2020.2/4","울산",111
"2020.2/4","세종",42
"2020.2/4","경기",1525
"2020.2/4","강원",134
"2020.2/4","충북",133
"2020.2/4","충남",172
"2020.2/4","전북",189
"2020.2/4","전남",152
"2020.2/4","경북",195
"2020.2/4","경남",346
"2020.2/4","제주",71
"2020.3/4","전체",5891
"2020.3/4","서울",1282
"2020.3/4","부산",423
"2020.3/4","대구",336
"2020.3/4","인천",299
"2020.3/4","광주",225
"2020.3/4","대전",207
"2020.3/4","울산",111
"2020.3/4","세종",58
"2020.3/4","경기",1524
"2020.3/4","강원",137
"2020.3/4","충북",134
"2020.3/4","충남",177
"2020.3/4","전북",191
"2020.3/4","전남",157
"2020.3/4","경북",203
"2020.3/4","경남",354
"2020.3/4","제주",73
"2020.4/4","전체",5840
"2020.4/4","서울",1260
"2020.4/4","부산",417
"2020.4/4","대구",332
"2020.4/4","인천",298
"2020.4/4","광주",222
"2020.4/4","대전",206
"2020.4/4","울산",112
"2020.4/4","세종",55
"2020.4/4","경기",1514
"2020.4/4","강원",138
"2020.4/4","충북",131
"2020.4/4","충남",178
"2020.4/4","전북",191
"2020.4/4","전남",155
"2020.4/4","경북",204
"2020.4/4","경남",354
"2020.4/4","제주",73
"2021.1/4","전체",5924
"2021.1/4","서울",1295
"2021.1/4","부산",428
"2021.1/4","대구",344
"2021.1/4","인천",306
"2021.1/4","광주",230
"2021.1/4","대전",210
"2021.1/4","울산",109
"2021.1/4","세종",56
"2021.1/4","경기",1523
"2021.1/4","강원",144
"2021.1/4","충북",129
"2021.1/4","충남",173
"2021.1/4","전북",188
"2021.1/4","전남",155
"2021.1/4","경북",205
"2021.1/4","경남",357
"2021.1/4","제주",72
"2021.2/4","전체",5999
"2021.2/4","서울",1307
"2021.2/4","부산",433
"2021.2/4","대구",343
"2021.2/4","인천",312
"2021.2/4","광주",234
"2021.2/4","대전",211
"2021.2/4","울산",117
"2021.2/4","세종",58
"2021.2/4","경기",1522
"2021.2/4","강원",143
"2021.2/4","충북",147
