
"시점","시군구별(1)",소아청소년과
"2020.2/4","울산",33
"2020.2/4","세종",22
"2020.2/4","경기",684
"2020.2/4","강원",57
"2020.2/4","충북",51
"2020.2/4","충남",63
"2020.2/4","전북",72
"2020.2/4","전남",24
"2020.2/4","경북",72
"2020.2/4","경남",98
"2020.2/4","제주",32
"2020.3/4","전체",2181
"2020.3/4","서울",486
"2020.3/4","부산",127
"2020.3/4","대구",115
"2020.3/4","인천",140
"2020.3/4","광주",44
"2020.3/4","대전",61
"2020.3/4","울산",33
"2020.3/4","세종",22
"2020.3/4","경기",679
"2020.3/4","강원",56
"2020.3/4","충북",51
"2020.3/4","충남",67
"2020.3/4","전북",70
"2020.3/4","전남",25
"2020.3/4","경북",72
"2020.3/4","경남",99
"2020.3/4","제주",34
"2020.4/4","전체",2158
"2020.4/4","서울",475
"2020.4/4","부산",128
"2020.4/4","대구",112
"2020.4/4","인천",140
"2020.4/4","광주",43
"2020.4/4","대전",59
"2020.4/4","울산",35
"2020.4/4","세종",22
"2020.4/4","경기",672
"2020.4/4","강원",56
"2020.4/4","충북",51
"2020.4/4","충남",67
"2020.4/4","전북",68
"2020.4/4","전남",25
"2020.4/4","경북",73
"2020.4/4","경남",98
"2020.4/4","제주",34
"2021.1/4","전체",2141
"2021.1/4","서울",468
"2021.1/4","부산",132
"2021.1/4","대구",112
"2021.1/4","인천",138
"2021.1/4","광주",44
"2021.1/4","대전",58
"2021.1/4","울산",34
"2021.1/4","세종",23
"2021.1/4","경기",665
"2021.1/4","강원",55
"2021.1/4","충북",53
"2021.1/4","충남",65
"2021.1/4","전북",67
"2021.1/4","전남",27
"2021.1/4","경북",71
"2021.1/4","경남",95
"2021.1/4","제주",34
"2021.2/4","전체",2118
"2021.2/4","서울",458
"2021.2/4","부산",133
"2021.2/4","대구",113
"2021.2/4","인천",136
"2021.2/4","광주",44
"2021.2/4","대전",58
"2021.2/4","울산",34
"2021.2/4","세종",22
"2021.2/4","경기",662
"2021.2/4","강원",53
"2021.2/4","충북",54
"2021.2/4","충남",64
"2021.2/4","전북",66
"2021.2/4","전남",26
"2021.2/4","경북",69
"2021.2/4","경남",92
"2021.2/4","제주",34
"2021.3/4","전체",2119
"2021.3/4","서울",458
"2021.3/4","부산",134
"2021.3/4","대구",113
"2021.3/4","인천",136
"2021.3/4","광주",43
"2021.3/4","대전",59
"2021.3/4","울산",34
"2021.3/4","세종",22
"2021.3/4","경기",660
"2021.3/4","강원",55
"2021.3/4","충북",54
"2021.3/4","충남",64
"2021.3/4","전북",66
"2021.3/4","전남",26
"2021.3/4","경북",70
"2021.3/4","경남",91
"2021.3/4","제주",34
"2021.4/4","전체",2111
"2021.4/4","서울",455
"2021.4/4","부산",132
"2021.4/4","대구",114
"2021.4/4","인천",137
"2021.4/4","광주",42
"2021.4/4","대전",59
"2021.4/4","울산",32
"2021.4/4","세종",22
"2021.4/4","경기",657
"2021.4/4","강원",56
"2021.4/4","충북",54
"2021.4/4","충남",64
"2021.4/4","전북",65
"2021.4/4","전남",26
"2021.4/4","경북",71
"2021.4/4","경남",91
"2021.4/4","제주",34
"2022.1/4","전체",2104
"2022.1/4","서울",452
"2022.1/4","부산",132
"2022.1/4","대구",115
"2022.1/4","인천",138
"2022.1/4","광주",40
"2022.1/4","대전",59
"2022.1/4","울산",32
"2022.1/4","세종",22
"2022.1/4","경기",652
"2022.1/4","강원",56
"2022.1/4","충북",54
"2022.1/4","충남",65
"2022.1/4","전북",63
"2022.1/4","전남",26
"2022.1/4","경북",72
"2022.1/4","경남",92
"2022.1/4","제주",34
"2022.2/4","전체",2111
"2022.2/4","서울",454
"2022.2/4","부산",137
"2022.2/4","대구",115
"2022.2/4","인천",139
"2022.2/4","광주",41
"2022.2/4","대전",58
"2022.2/4","울산",32
"2022.2/4","세종",22
"2022.2/4","경기",652
"2022.2/4","강원",56
"2022.2/4","충북",54
"2022.2/4","충남",64
"2022.2/4","전북",65
"2022.2/4","전남",26
"2022.2/4","경북",70
"2022.2/4","경남",92
"2022.2/4","제주",34
"2022.3/4","전체",2129
"2022.3/4","서울",454
"2022.3/4","부산",136
"2022.3/4","대구",116
"2022.3/4","인천",141
"2022.3/4","광주",41
"2022.3/4","대전",58
"2022.3/4","울산",32
"2022.3/4","세종",22
"2022.3/4","경기",663
"2022.3/4","강원",57
"2022.3/4","충북",55
"2022.3/4","충남",66
"2022.3/4","전북",66
"2022.3/4","전남",26
"2022.3/4","경북",70
"2022.3/4","경남",92
"2022.3/4","제주",34
"2022.4/4","전체",2135
"2022.4/4","서울",456
"2022.4/4","부산",135
"2022.4/4","대구",115
"2022.4/4","인천",141
"2022.4/4","광주",41
"2022.4/4","대전",58
"2022.4/4","울산",32
"2022.4/4","세종",22
"2022.4/4","경기",668
"2022.4/4","강원",57
"2022.4/4","충북",54
"2022.4/4","충남",66
"2022.4/4","전북",66
"2022.4/4","전남",26
"2022.4/4","경북",70
"2022.4/4","경남",92
"2022.4/4","제주",36
"2023.1/4","전체",2147
"2023.1/4","서울",456
"2023.1/4","부산",136
"2023.1/4","대구",115
"2023.1/4","인천",139
"2023.1/4","광주",42
"2023.1/4","대전",58
"2023.1/4","울산",32
"2023.1/4","세종",25
"2023.1/4","경기",674
"2023.1/4","강원",57
"2023.1/4","충북",56
"2023.1/4","충남",66
"2023.1/4","전북",67
"2023.1/4","전남",26
"2023.1/4","경북",70
"2023.1/4","경남",92
"2023.1/4","제주",36
"2023.2/4","전체",2143
"2023.2/4","서울",452
"2023.2/4","부산",136
"2023.2/4","대구",115
"2023.2/4","인천",139
"2023.2/4","광주",43
"2023.2/4","대전",58
"2023.2/4","울산",34
"2023.2/4","세종",26
"2023.2/4","경기",670
"2023.2/4","강원",57
"2023.2/4","충북",56
"2023.2/4","충남",65
"2023.2/4","전북",66
"2023.2/4","전남",26
"2023.2/4","경북",70
"2023.2/4","경남",93
"2023.2/4","제주",37
"2023.3/4","전체",2145
"2023.3/4","서울",450
"2023.3/4","부산",136
"2023.3/4","대구",115
"2023.3/4","인천",141
"2023.3/4","광주",43
"2023.3/4","대전",57
"2023.3/4","울산",34
"2023.3/4","세종",26
"2023.3/4","경기",675
"2023.3/4","강원",57
"2023.3/4","충북",56
"2023.3/4","충남",65
"2023.3/4","전북",65
"2023.3/4","전남",25
"2023.3/4","경북",69
"2023.3/4","경남",94
"2023.3/4","제주",37
"2023.4/4","전체",2152
"2023.4/4","서울",451
"2023.4/4","부산",137
"2023.4/4","대구",116
"2023.4/4","인천",143
"2023.4/4","광주",42
"2023.4/4","대전",56
"2023.4/4","울산",34
"2023.4/4","세종",26
"2023.4/4","경기",680
"2023.4/4","강원",57
"2023.4/4","충북",56
"2023.4/4","충남",65
"2023.4/4","전북",65
"2023.4/4","전남",25
"2023.4/4","경북",68
"2023.4/4","경남",95
"2023.4/4","제주",36
"2024.1/4","전체",2183
"2024.1/4","서울",459
"2024.1/4","부산",141
"2024.1/4","대구",114
"2024.1/4","인천",144
"2024.1/4","광주",42
"2024.1/4","대전",56
"2024.1/4","울산",34
"2024.1/4","세종",27
"2024.1/4","경기",689
"2024.1/4","강원",57
"2024.1/4","충북",56
"2024.1/4","충남",65
"2024.1/4","전북",67
"2024.1/4","전남",26
"2024.1/4","경북",73
"2024.1/4","경남",98
"2024.1/4","제주",35
"2024.2/4","전체",2185
"2024.2/4","서울",459
"2024.2/4","부산",140
"2024.2/4","대구",116
"2024.2/4","인천",145
"2024.2/4","광주",42
"2024.2/4","대전",57
"2024.2/4","울산",33
"2024.2/4","세종",27
"2024.2/4","경기",694
"2024.2/4","강원",56
"2024.2/4","충북",56
"2024.2/4","충남",65
"2024.2/4","전북",66
"2024.2/4","전남",25
"2024.2/4","경북",72
"2024.2/4","경남",97
"2024.2/4","제주",35
"2024.3/4","전체",2184
"2024.3/4","서울",455
"2024.3/4","부산",141
"2024.3/4","대구",117
"2024.3/4","인천",144
"2024.3/4","광주",41
"2024.3/4","대전",56
"2024.3/4","울산",33
"2024.3/4","세종",27
"2024.3/4","경기",700
"2024.3/4","강원",56
"2024.3/4","충북",56
"2024.3/4","충남",64
"2024.3/4","전북",66
"2024.3/4","전남",25
"2024.3/4","경북",72
"2024.3/4","경남",96
"2024.3/4","제주",35
"2024.4/4","전체",2187
"2024.4/4","서울",456
"2024.4/4","부산",141
"2024.4/4","대구",118
"2024.4/4","인천",144
"2024.4/4","광주",41
"2024.4/4","대전",56
