시점,지역,소아청소년과의원수,출산율,출생아수,아동인구수(0-14세),소아청소년과전문의수,의원1개당전문의수,아동1만명당전문의수
2024,대전광역시,56.25,0.792,7266,158328,214.5,3.8133333333333335,13.54782476883432
2024,부산광역시,140.75,0.683,13063,317226,463.25,3.291296625222025,14.603153587663055
2024,서울특별시,457.25,0.581,41605,835816,1498.75,3.277747402952433,17.931578242101132
2024,세종특별자치시,27.0,1.028,2895,69865,79.0,2.925925925925926,11.307521648894296
2024,울산광역시,33.25,0.859,5282,129274,120.0,3.6090225563909772,9.282609031978588
2024,인천광역시,144.25,0.762,15236,333296,351.5,2.436741767764298,10.546181172291297
2024,전라남도,25.25,1.028,8225,179798,149.25,5.910891089108911,8.300982213372786
2024,전북특별자치도,66.25,0.808,6780,174483,202.5,3.056603773584906,11.60571516995925
2024,제주특별자치도,35.0,0.826,3156,84099,70.75,2.0214285714285714,8.412704074959274
2024,충청남도,64.5,0.883,9855,237250,174.25,2.701550387596899,7.3445732349841935
2024,충청북도,56.0,0.882,7540,169634,145.75,2.6026785714285716,8.592027541648491
