연도,시도,총인구 (명),65세이상 인구 (명),고령화율 (%),고령화 단계
2020,충청남도,2121029,405188,19.1,고령사회
2020,충청북도,1600837,288148,18.0,고령사회
2021,강원특별자치도,1538492,333176,21.66,초고령사회
2021,경기도,13565450,1881464,13.87,고령화사회
2021,경상남도,3314183,608379,18.36,고령사회
2021,경상북도,2626609,596312,22.7,초고령사회
2021,광주광역시,1441611,213291,14.8,고령사회
2021,대구광역시,2385412,417060,17.48,고령사회
2021,대전광역시,1452251,221207,15.23,고령사회
2021,부산광역시,3350380,681885,20.35,초고령사회
2021,서울특별시,9509458,1597447,16.8,고령사회
2021,세종특별자치시,371895,37463,10.07,고령화사회
2021,울산광역시,1121592,152961,13.64,고령화사회
2021,인천광역시,2948375,435431,14.77,고령사회
2021,전국,51638809,8851033,17.14,고령사회
2021,전라남도,1832803,445198,24.29,초고령사회
2021,전북특별자치도,1786855,397619,22.25,초고령사회
2021,제주특별자치도,676759,110645,16.35,고령사회
2021,충청남도,2119257,419979,19.82,고령사회
2021,충청북도,1597427,301516,18.88,고령사회
2022,강원특별자치도,1536498,349874,22.77,초고령사회
2022,경기도,13589432,1992807,14.66,고령사회
2022,경상남도,3280493,638801,19.47,고령사회
2022,경상북도,2600492,618275,23.78,초고령사회
2022,광주광역시,1431050,222970,15.58,고령사회
2022,대구광역시,2363691,435698,18.43,고령사회
2022,대전광역시,1446072,232663,16.09,고령사회
2022,부산광역시,3317812,712412,21.47,초고령사회
2022,서울특별시,9428372,1658207,17.59,고령사회
2022,세종특별자치시,383591,40219,10.48,고령화사회
2022,울산광역시,1110663,163812,14.75,고령사회
2022,인천광역시,2967314,463850,15.63,고령사회
2022,전국,51439038,9267290,18.02,고령사회
2022,전라남도,1817697,457481,25.17,초고령사회
2022,전북특별자치도,1769607,410619,23.2,초고령사회
2022,제주특별자치도,678159,115768,17.07,고령사회
2022,충청남도,2123037,436895,20.58,초고령사회
2022,충청북도,1595058,316939,19.87,고령사회
2023,강원특별자치도,1527807,366555,23.99,초고령사회
2023,경기도,13630821,2122718,15.57,고령사회
2023,경상남도,3251158,669646,20.6,초고령사회
2023,경상북도,2554324,630486,24.68,초고령사회
2023,광주광역시,1419237,233878,16.48,고령사회
2023,대구광역시,2374960,466338,19.64,고령사회
2023,대전광역시,1442216,244756,16.97,고령사회
2023,부산광역시,3293362,745199,22.63,초고령사회
2023,서울특별시,9386034,1733580,18.47,고령사회
2023,세종특별자치시,386525,42560,11.01,고령화사회
2023,울산광역시,1103661,175709,15.92,고령사회
2023,인천광역시,2997410,497057,16.58,고령사회
2023,전국,51325329,9730411,18.96,고령사회
2023,전라남도,1804217,470874,26.1,초고령사회
2023,전북특별자치도,1754757,423128,24.11,초고령사회
2023,제주특별자치도,675252,121156,17.94,고령사회
2023,충청남도,2130119,454534,21.34,초고령사회
2023,충청북도,1593469,332237,20.85,초고령사회
2024,강원특별자치도,1517766,384970,25.36,초고령사회
2024,경기도,13694685,2269603,16.57,고령사회
2024,경상남도,3228380,704330,21.82,초고령사회
2024,경상북도,2531384,659227,26.04,초고령사회
2024,광주광역시,1408422,246980,17.54,고령사회
2024,대구광역시,2363629,493256,20.87,초고령사회
2024,대전광역시,1439157,259245,18.01,고령사회
2024,부산광역시,3266598,780576,23.9,초고령사회
2024,서울특별시,9331828,1813648,19.44,고령사회
2024,세종특별자치시,390685,45301,11.6,고령화사회
2024,울산광역시,1098049,188702,17.19,고령사회
2024,인천광역시,3021010,533369,17.66,고령사회
2024,전국,51217221,10256782,20.03,초고령사회
2024,전라남도,1788819,486492,27.2,초고령사회
2024,전북특별자치도,1738690,439263,25.26,초고령사회
2024,제주특별자치도,670368,126985,18.94,고령사회
2024,충청남도,2136574,475648,22.26,초고령사회
2024,충청북도,1591177,349187,21.95,초고령사회
