"시점","시도별",소아청소년과
"2016.4/4","제주특별자치도",26
"2017.1/4","계",2245
"2017.1/4","서울특별시",522
"2017.1/4","부산광역시",148
"2017.1/4","대구광역시",117
"2017.1/4","인천광역시",150
"2017.1/4","광주광역시",47
"2017.1/4","대전광역시",66
"2017.1/4","울산광역시",37
"2017.1/4","세종특별자치시",14
"2017.1/4","경기도",678
"2017.1/4","강원특별자치도",50
"2017.1/4","충청북도",53
"2017.1/4","충청남도",60
"2017.1/4","전북특별자치도",73
"2017.1/4","전라남도",28
"2017.1/4","경상북도",72
"2017.1/4","경상남도",104
"2017.1/4","제주특별자치도",26
"2017.2/4","계",2240
"2017.2/4","서울특별시",521
"2017.2/4","부산광역시",146
"2017.2/4","대구광역시",117
"2017.2/4","인천광역시",150
"2017.2/4","광주광역시",46
"2017.2/4","대전광역시",64
"2017.2/4","울산광역시",37
"2017.2/4","세종특별자치시",16
"2017.2/4","경기도",676
"2017.2/4","강원특별자치도",50
"2017.2/4","충청북도",54
"2017.2/4","충청남도",60
"2017.2/4","전북특별자치도",73
"2017.2/4","전라남도",28
"2017.2/4","경상북도",72
"2017.2/4","경상남도",103
"2017.2/4","제주특별자치도",27
"2017.3/4","계",2238
"2017.3/4","서울특별시",524
"2017.3/4","부산광역시",146
"2017.3/4","대구광역시",117
"2017.3/4","인천광역시",149
"2017.3/4","광주광역시",46
"2017.3/4","대전광역시",66
"2017.3/4","울산광역시",36
"2017.3/4","세종특별자치시",17
"2017.3/4","경기도",670
"2017.3/4","강원특별자치도",50
"2017.3/4","충청북도",53
"2017.3/4","충청남도",62
"2017.3/4","전북특별자치도",72
"2017.3/4","전라남도",28
"2017.3/4","경상북도",71
"2017.3/4","경상남도",104
"2017.3/4","제주특별자치도",27
"2017.4/4","계",2229
"2017.4/4","서울특별시",521
"2017.4/4","부산광역시",143
"2017.4/4","대구광역시",114
"2017.4/4","인천광역시",149
"2017.4/4","광주광역시",44
"2017.4/4","대전광역시",65
"2017.4/4","울산광역시",36
"2017.4/4","세종특별자치시",17
"2017.4/4","경기도",668
"2017.4/4","강원특별자치도",49
"2017.4/4","충청북도",53
"2017.4/4","충청남도",63
"2017.4/4","전북특별자치도",74
"2017.4/4","전라남도",28
"2017.4/4","경상북도",72
"2017.4/4","경상남도",106
"2017.4/4","제주특별자치도",27
"2018.1/4","계",2228
"2018.1/4","서울특별시",517
"2018.1/4","부산광역시",140
"2018.1/4","대구광역시",113
"2018.1/4","인천광역시",152
"2018.1/4","광주광역시",43
"2018.1/4","대전광역시",65
"2018.1/4","울산광역시",37
"2018.1/4","세종특별자치시",21
"2018.1/4","경기도",670
"2018.1/4","강원특별자치도",49
"2018.1/4","충청북도",52
"2018.1/4","충청남도",63
"2018.1/4","전북특별자치도",74
"2018.1/4","전라남도",27
"2018.1/4","경상북도",72
"2018.1/4","경상남도",104
"2018.1/4","제주특별자치도",29
"2018.2/4","계",2225
"2018.2/4","서울특별시",515
"2018.2/4","부산광역시",138
"2018.2/4","대구광역시",114
"2018.2/4","인천광역시",151
"2018.2/4","광주광역시",42
"2018.2/4","대전광역시",65
"2018.2/4","울산광역시",36
"2018.2/4","세종특별자치시",21
"2018.2/4","경기도",671
"2018.2/4","강원특별자치도",49
"2018.2/4","충청북도",53
"2018.2/4","충청남도",63
"2018.2/4","전북특별자치도",74
"2018.2/4","전라남도",27
"2018.2/4","경상북도",72
"2018.2/4","경상남도",105
"2018.2/4","제주특별자치도",29
"2018.3/4","계",2224
"2018.3/4","서울특별시",511
"2018.3/4","부산광역시",137
"2018.3/4","대구광역시",114
"2018.3/4","인천광역시",148
"2018.3/4","광주광역시",43
"2018.3/4","대전광역시",64
"2018.3/4","울산광역시",36
"2018.3/4","세종특별자치시",22
"2018.3/4","경기도",671
"2018.3/4","강원특별자치도",53
"2018.3/4","충청북도",52
"2018.3/4","충청남도",64
"2018.3/4","전북특별자치도",75
"2018.3/4","전라남도",27
"2018.3/4","경상북도",73
"2018.3/4","경상남도",106
"2018.3/4","제주특별자치도",28
"2018.4/4","계",2221
"2018.4/4","서울특별시",509
"2018.4/4","부산광역시",137
"2018.4/4","대구광역시",112
"2018.4/4","인천광역시",148
"2018.4/4","광주광역시",43
"2018.4/4","대전광역시",64
"2018.4/4","울산광역시",36
"2018.4/4","세종특별자치시",22
"2018.4/4","경기도",675
"2018.4/4","강원특별자치도",53
"2018.4/4","충청북도",50
"2018.4/4","충청남도",62
"2018.4/4","전북특별자치도",76
"2018.4/4","전라남도",27
"2018.4/4","경상북도",74
"2018.4/4","경상남도",105
"2018.4/4","제주특별자치도",28
"2019.1/4","계",2221
"2019.1/4","서울특별시",502
"2019.1/4","부산광역시",138
"2019.1/4","대구광역시",113
"2019.1/4","인천광역시",148
"2019.1/4","광주광역시",44
"2019.1/4","대전광역시",64
"2019.1/4","울산광역시",37
"2019.1/4","세종특별자치시",22
"2019.1/4","경기도",678
